name,Team,team_id,league,league_rank,player_code,position,rtg_adj,mv_adj,ga_adj,gap90_adj,talent_score
Aaron Guillen,Tampa Bay Rowdies,197328,USLC,63.7,aguillen,Center Back,0.057645568311097316,0.3582260316475333,0.04323417623332299,0.12764375840314407,0.13587883959044367
Aaron Herrera,D C United,6602,MLS,78.31,aherrera,Right Back,0.6725990552177745,0.5073992872695492,0.6155658019975538,0.5742658600104975,0.5986524924219022
Aaron Long,Los Angeles Fc,867280,MLS,78.31,along,Center Back,0.6057324824768262,0.5073992872695492,0.7571656030960328,0.7256989806297042,0.6523424170050756
Aaron Molloy,Charleston Battery,162183,USLC,63.7,amolloy,Defensive Midfielder,0.7020406712172923,0.6855705088426931,0.5393978177681249,0.5043987227221015,0.6069254835039818
Aaron Walker,South Georgia Tormenta Fc,727430,USL1,56.19,awalker,Central Midfielder,0.2023522478945171,0.013796744174626167,0.2621381393178972,0.24374248041839564,0.18901539519237848
Abdellatif Aboukoura,Loudoun United Fc,1003205,USLC,63.7,aaboukoura,Left Winger,0.7246871444823663,0.6855705088426931,0.6835117385458682,0.6526301840934946,0.6870116480504705
Abdi Mohamed,Oakland Roots Sc,1130413,USLC,63.7,amohamed,Right Back,0.004117540593649808,0.15646654255869272,0.32322693660151,0.3067567742269107,0.1892009902782087
Abdoulaye Cissoko,Fc Tulsa,614325,USLC,63.7,acissoko,Center Back,0.37057865342848273,0.6093960078601717,0.20999457027614024,0.257346287103113,0.3522555977867411
Abel Alejandro Caputo,One Knoxville Sc,1358088,USL1,56.19,acaputo,Defensive Midfielder,0.1701598448203894,0.30352837184177567,0.12417069757163551,0.11037395339700934,0.16969995334790186
Abraham Romero,Colorado Springs Switchbacks Fc,614321,USLC,63.7,aromero,Keeper,0.02470524356189885,0.25528751680628814,0.3891075860999069,0.3891075860999069,0.25302286947978075
Adam Larsson,Monterey Bay Fc,915808,USLC,63.7,alarsson,Striker,0.016470162374599234,0.3582260316475333,0.13999638018409347,0.055586798014272416,0.12126157048298684
Adewale Abdulgafar Obalola,Hartford Athletic,1003206,USLC,63.7,aobalola,Striker,0.03088155445237356,0.15646654255869272,0.150290231668218,0.06588064949839693,0.0903800160306133
Adilson Malanda,Charlotte Fc,1323940,MLS,78.31,amalanda,Center Back,0.5073992872695492,0.7099656693965397,0.824032175836981,0.751265611383596,0.6843990386426477
